Country,Code,Year,Outbound Mobility Ratio (%)
Netherlands,NLD,2010,1.938619971
Netherlands,NLD,2011,1.72713995
Netherlands,NLD,2012,1.822649956
Norway,NOR,1998,6.342269897
Norway,NOR,1999,6.905729771
Norway,NOR,2000,7.245359898
Norway,NOR,2001,7.73032999
Norway,NOR,2002,8.172889709
Norway,NOR,2003,7.277009964
Norway,NOR,2004,6.394080162
Norway,NOR,2005,5.928279877
Norway,NOR,2006,5.688799858
Norway,NOR,2007,5.558899879
Norway,NOR,2008,5.316860199
Norway,NOR,2009,5.666739941
Norway,NOR,2010,6.178380013
Norway,NOR,2011,6.77177
Norway,NOR,2012,9.889849663
Norway,NOR,2013,6.989930153
Portugal,PRT,1998,3.02373004
Portugal,PRT,1999,3.071549892
Portugal,PRT,2000,2.851449966
Portugal,PRT,2001,2.896929979
Portugal,PRT,2002,2.938070059
Portugal,PRT,2003,3.110450029
Portugal,PRT,2004,2.845340014
Portugal,PRT,2005,3.234260082
Portugal,PRT,2006,2.845419884
Portugal,PRT,2007,3.199929953
Portugal,PRT,2008,3.061779976
Portugal,PRT,2009,3.3542099
Portugal,PRT,2010,3.393690109
Portugal,PRT,2011,3.399359941
Portugal,PRT,2012,3.280119896
Portugal,PRT,2013,2.567310095
Spain,ESP,1998,1.456019998
Spain,ESP,1999,1.469290018
Spain,ESP,2000,1.508290052
Spain,ESP,2001,1.478579998
Spain,ESP,2002,1.500020027
Spain,ESP,2003,1.237779975
Spain,ESP,2004,1.368630052
Spain,ESP,2005,1.36469996
Spain,ESP,2006,1.305379987
Spain,ESP,2007,1.338469982
Spain,ESP,2008,1.18671
Spain,ESP,2009,1.221770048
Spain,ESP,2010,1.248239994
Spain,ESP,2011,1.340720057
Spain,ESP,2012,1.520030022
Spain,ESP,2013,1.454249978
Sweden,SWE,1998,4.566599846
Sweden,SWE,1999,4.172190189
Sweden,SWE,2000,3.632560015
Sweden,SWE,2001,4.31028986
Sweden,SWE,2002,4.062920094
Sweden,SWE,2003,3.920739889
Sweden,SWE,2004,3.059880018
Sweden,SWE,2005,3.12857008
Sweden,SWE,2006,3.165430069
Sweden,SWE,2007,3.343250036
Sweden,SWE,2008,3.410599947
Sweden,SWE,2009,3.498080015
Sweden,SWE,2010,3.415149927
Sweden,SWE,2011,3.574450016
Sweden,SWE,2012,3.907880068
Sweden,SWE,2013,4.05053997
Switzerland,CHE,1998,5.551149845
Switzerland,CHE,1999,5.584599972
Switzerland,CHE,2000,4.440159798
Switzerland,CHE,2001,5.210869789
Switzerland,CHE,2002,5.10281992
Switzerland,CHE,2003,4.278049946
Switzerland,CHE,2004,5.028130054
Switzerland,CHE,2005,4.810689926
Switzerland,CHE,2006,4.871749878
Switzerland,CHE,2007,4.927340031
Switzerland,CHE,2008,4.573599815
Switzerland,CHE,2009,4.697319984
Switzerland,CHE,2010,4.574329853
Switzerland,CHE,2011,4.577980042
Switzerland,CHE,2012,4.390180111
Switzerland,CHE,2013,4.244269848
United Kingdom,GBR,1998,1.451799989
United Kingdom,GBR,1999,1.333619952
United Kingdom,GBR,2000,1.103109956
United Kingdom,GBR,2001,1.350630045
United Kingdom,GBR,2002,1.320950031
United Kingdom,GBR,2003,1.393749952
United Kingdom,GBR,2004,1.068070054
United Kingdom,GBR,2005,1.007750034
United Kingdom,GBR,2006,0.994229972
United Kingdom,GBR,2007,1.065610051
United Kingdom,GBR,2008,0.930450022
United Kingdom,GBR,2009,0.976180017
United Kingdom,GBR,2010,0.992269993
United Kingdom,GBR,2011,1.149850011
United Kingdom,GBR,2012,1.055920005
United Kingdom,GBR,2013,1.147310019
