Region of Country,Year,"Outbound mobility ratio, all regions, both sexes (%)"
High-income countries,2013,1.903470039
Least-developed countries,1997,5.532489777
Least-developed countries,1998,5.181729794
Least-developed countries,1999,4.844379902
Least-developed countries,2000,4.668419838
Least-developed countries,2001,4.207849979
Least-developed countries,2002,4.519820213
Least-developed countries,2003,4.678239822
Least-developed countries,2004,4.497169971
Least-developed countries,2005,4.313220024
Least-developed countries,2006,4.10323
Least-developed countries,2007,4.000279903
Least-developed countries,2008,3.74635005
Least-developed countries,2009,3.592259884
Least-developed countries,2010,3.345989943
Least-developed countries,2011,3.324229956
Least-developed countries,2012,3.154190063
Least-developed countries,2013,3.134609938
Low-income countries,1997,4.620319843
Low-income countries,1998,4.404799938
Low-income countries,1999,4.049510002
Low-income countries,2000,3.928689957
Low-income countries,2001,3.642100096
Low-income countries,2002,4.001920223
Low-income countries,2003,4.142879963
Low-income countries,2004,3.885659933
Low-income countries,2005,3.757139921
Low-income countries,2006,3.543459892
Low-income countries,2007,3.587069988
Low-income countries,2008,3.513770103
Low-income countries,2009,3.295079947
Low-income countries,2010,3.21690011
Low-income countries,2011,3.194710016
Low-income countries,2012,2.846240044
Low-income countries,2013,2.894380093
Lower-middle-income countries,1997,1.713909984
Lower-middle-income countries,1998,1.556959987
Lower-middle-income countries,1999,1.434270024
Lower-middle-income countries,2000,1.473559976
Lower-middle-income countries,2001,1.494179964
Lower-middle-income countries,2002,1.647410035
Lower-middle-income countries,2003,1.714450002
Lower-middle-income countries,2004,1.701500058
Lower-middle-income countries,2005,1.753620028
Lower-middle-income countries,2006,1.700449944
Lower-middle-income countries,2007,1.689159989
Lower-middle-income countries,2008,1.702219963
Lower-middle-income countries,2009,1.725510001
Lower-middle-income countries,2010,1.650300026
Lower-middle-income countries,2011,1.477519989
Lower-middle-income countries,2012,1.356430054
Lower-middle-income countries,2013,1.34837997
Middle-income countries,1997,2.05163002
Middle-income countries,1998,1.923709989
Middle-income countries,1999,1.795420051
Middle-income countries,2000,1.775879979
Middle-income countries,2001,1.745509982
Middle-income countries,2002,1.866529942
Middle-income countries,2003,1.942790031
Middle-income countries,2004,1.89320004
Middle-income countries,2005,1.873759985
Middle-income countries,2006,1.734509945
Middle-income countries,2007,1.714679956
Middle-income countries,2008,1.741799951
Middle-income countries,2009,1.77038002
Middle-income countries,2010,1.76778996
Middle-income countries,2011,1.755480051
Middle-income countries,2012,1.695060015
Middle-income countries,2013,1.669260025
OECD Member countries,1997,1.673699975
OECD Member countries,1998,1.695369959
OECD Member countries,1999,1.698060036
OECD Member countries,2000,1.723919988
OECD Member countries,2001,1.73021996
OECD Member countries,2002,1.703840017
OECD Member countries,2003,1.702100039
OECD Member countries,2004,1.562019944
OECD Member countries,2005,1.577870011
OECD Member countries,2006,1.521469951
OECD Member countries,2007,1.551699996
OECD Member countries,2008,1.517529964
OECD Member countries,2009,1.570299983
OECD Member countries,2010,1.552760005
OECD Member countries,2011,1.568689942
OECD Member countries,2012,1.568950057
OECD Member countries,2013,1.586629987
Upper-middle-income countries,1997,2.321320057
Upper-middle-income countries,1998,2.233969927
Upper-middle-income countries,1999,2.112260103
Upper-middle-income countries,2000,2.037620068
Upper-middle-income countries,2001,1.946390033
Upper-middle-income countries,2002,2.031620026
Upper-middle-income countries,2003,2.101560116
Upper-middle-income countries,2004,2.020669937
Upper-middle-income countries,2005,1.949630022
Upper-middle-income countries,2006,1.755079985
Upper-middle-income countries,2007,1.730370045
Upper-middle-income countries,2008,1.766909957
Upper-middle-income countries,2009,1.798799992
Upper-middle-income countries,2010,1.843680024
Upper-middle-income countries,2011,1.956609964
Upper-middle-income countries,2012,1.945950031
Upper-middle-income countries,2013,1.902580023
